timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text,hasVideo
2026-08-10T20:13:52.000+08:00,2415,34,1,2,yes,"use byd; ecosystem pin; gen smart; fangchengbao; enabling cabin","https://x.com/tphuang/status/2086788119316337014","FangChengBao S is the 1st to use BYD's new gen smart ecosystem 2.0 w/ PIN ports, magnetic and threaded interfaces throughout the vehicle, enabling the cabin to be customized, evolving, and evolving.  BYD is really pulling out all the stops for this model.","FangChengBao S is the 1st to use BYD's new gen smart ecosystem 2.0 w/ PIN ports, magnetic and threaded interfaces throughout the vehicle, enabling the cabin to be customized, evolving, and evolving.  BYD is really pulling out all the stops for this model.",no
2026-08-10T19:51:37.000+08:00,2457,41,7,3,yes,"node; aidc production; alibaba cloud; referring supernodes; days modular; lowering construction","https://x.com/tphuang/status/2086782516896403807","Alibaba Cloud has reduced AIDC completion time to 100 days thru modular design, lowering construction cost by 10%.  It's planning to raise global modular AIDC production by 2x this yr.  Imo, this is referring to the SuperNodes that's now being mass produced. It can deliver them","Alibaba Cloud has reduced AIDC completion time to 100 days thru modular design, lowering construction cost by 10%.  It's planning to raise global modular AIDC production by 2x this yr.  Imo, this is referring to the SuperNodes that's now being mass produced. It can deliver them",no
2026-08-10T13:32:10.000+08:00,3086,27,3,1,yes,"lpddr; nvidia; chip; rack; smartphone; premium smartphones; 2m rubin; lpddr chips; nvidia sells; uses 4500","https://x.com/tphuang/status/2086687026162880538","Right on cue, this reports each Rubin rack uses 4500 premium smartphone worth of LPDDR chips. So, if Nvidia sells 7.2m Rubin chips or 100k racks, that would be equivalent to 450m premium smartphones of Chips. Global premium phone mkt is < 450m.","Right on cue, this reports each Rubin rack uses 4500 premium smartphone worth of LPDDR chips. So, if Nvidia sells 7.2m Rubin chips or 100k racks, that would be equivalent to 450m premium smartphones of Chips. Global premium phone mkt is < 450m.",no
2026-08-10T13:40:10.000+08:00,2096,15,3,1,yes,"chip; memory; cxmt; china abroad; ai sector","https://x.com/tphuang/status/2086689040166948985","Keep in mind that as China Inc shifts to domestic players for AI systems in both China & abroad, all that memory chip demand will have to be met by CXMT. We are talking about at least 2x in demand every yr from AI sector, probably 3-4x.","Keep in mind that as China Inc shifts to domestic players for AI systems in both China & abroad, all that memory chip demand will have to be met by CXMT. We are talking about at least 2x in demand every yr from AI sector, probably 3-4x.",no
2026-08-10T09:50:24.000+08:00,28643,132,23,10,no,"","https://x.com/tphuang/status/2086631216053399855","","",no
2026-08-10T10:40:49.000+08:00,3462,47,2,1,yes,"bao flash; fangchengbao store; charging version; store tai","https://x.com/tphuang/status/2086643903609110925","Saw my first FangChengBao store, it has a Tai-7 & Bao-8 in front with flash charging version of Tai-3 & 7 in the store.","Saw my first FangChengBao store, it has a Tai-7 & Bao-8 in front with flash charging version of Tai-3 & 7 in the store.",no
2026-08-10T10:08:53.000+08:00,10596,97,11,2,no,"dram; apple; chip; memory; china memory; dram crisis; apple suffering; cxmt ymtc; chips needed","https://x.com/tphuang/status/2086635868899659862","My first article is on the emerging DRAM crisis for China. Memory chips are needed everywhere. While Apple may be suffering a little bit, the lower priced Chinese OEMs will be bearing the brunt of demand destruction unless CXMT & YMTC dramatically raise production.","My first article is on the emerging DRAM crisis for China. Memory chips are needed everywhere. While Apple may be suffering a little bit, the lower priced Chinese OEMs will be bearing the brunt of demand destruction unless CXMT & YMTC dramatically raise production.",no
2026-08-10T07:38:04.000+08:00,9455,127,32,9,yes,"compliance china; rba rmi; huge consequences; producer power; weaponisation western","https://x.com/tphuang/status/2086597913556471844","China's recent sanction of RBA + its RMI subsidiary could have huge consequences ahead of next round Xi/Trump meeting.  After decades US weaponisation of western mkt to drive global compliance, China is now using exclusive producer power to counter that. This risks cutting off","China's recent sanction of RBA + its RMI subsidiary could have huge consequences ahead of next round Xi/Trump meeting.  After decades US weaponisation of western mkt to drive global compliance, China is now using exclusive producer power to counter that. This risks cutting off",no
2026-08-10T05:04:08.000+08:00,4942,81,17,4,yes,"chip; ai chip; architecture kunlunxin; chip p800; developed xpu; ai stack; center hanzhou","https://x.com/tphuang/status/2086559176390840530","Recently, Baidu open a new innovation center in Hanzhou that exclusively uses its 3rd gen AI chip P800 for continued development of its AI stack.  Each P800 does 345 TFLOPS of compute for 400 W & uses self developed XPU-P architecture. Kunlunxin team shipped 116k in AI","Recently, Baidu open a new innovation center in Hanzhou that exclusively uses its 3rd gen AI chip P800 for continued development of its AI stack.  Each P800 does 345 TFLOPS of compute for 400 W & uses self developed XPU-P architecture. Kunlunxin team shipped 116k in AI",no
2026-08-09T17:57:03.000+08:00,3821,52,9,4,yes,"stores benz; june china; audi reduction; sales collapsing","https://x.com/tphuang/status/2086391298630774923","Number of stores for Benz, BMW & Audi at end of June in China vs 2025. Huge drop for Benz & BMW. Audi reduction is more gradual.  Sales are collapsing.","Number of stores for Benz, BMW & Audi at end of June in China vs 2025. Huge drop for Benz & BMW. Audi reduction is more gradual.  Sales are collapsing.",no
